,author,dish,type,inglst,time_prep,time_cook,tags,ingredients,servings,rating_star,rating_num,meta_description
328,Sheryl Julian,Chicken Milanese,chicken,"['skinless', 'boneless', 'chicken', 'breasts', 'eggs', 'lemon']",30,15,"['dinner', 'make-ahead', 'italian', 'chicken']","4 large skinless boneless chicken breasts (1 1/2 pounds, 680 g),1 1/2 cups (190 g) all-purpose flour,1 teaspoon salt,1/2 teaspoon ground pepper,3 large eggs,2 cups (144 g) ,8 tablespoons (120 ml) olive oil, or more if needed,1 lemon, cut into wedges, for serving",4 servings,5,2.0,This classic Italian Chicken Milanese is surprisingly EASY and FAST to make at home. Serve it with a side salad for an easy weeknight meal. Also works as a make-ahead dish!
329,Nick Evans,Rotisserie Chicken Stroganoff,chicken,"['egg', 'noodles', 'onion', 'cremini', 'mushrooms', 'heaping', 'rotisserie', 'chicken', 'meat']",10,30,"['family-friendly', 'budget']","12 ounces egg noodles,4 tablespoons butter, divided,1 cup diced onion,8 ounces cremini mushrooms, sliced,2 cloves garlic, minced,2 tablespoons all-purpose flour,1 tablespoon Worcestershire sauce,1/2 teaspoon salt, plus more to taste,Black pepper, to taste,1 1/2 cups chicken stock,1/2 cup sour cream,2 heaping cups shredded rotisserie chicken (about 1 pound of meat),Fresh parsley, garnish",4 to 6 servings,5,9.0,"Give classic stroganoff a twist with some shredded rotisserie chicken! This whole dinner comes together in a jiffy, making it a new staple for busy weeknights."
330,Elise Bauer,Tomatillo Chicken Stew,chicken,"['tomatillos', 'jalapeño', 'chile', 'peppers', 'peppers', 'heat', 'juice', 'boneless', 'skinless', 'chicken', 'thighs', 'breasts', 'onions', 'coriander', 'chicken', 'tomatillo', 'stems']",20,40,"['soup and stew', 'mexican and tex mex', 'chicken', 'tomatillo']","1 1/2 pounds tomatillos,1-2 jalapeño chile peppers, or 2-3 serrano chili peppers (include the seeds if you want the heat, remove them if you don't want the heat), stems discarded, chopped,1 clove garlic, chopped,1 teaspoon salt,2 tablespoons lime (or lemon) juice,Pinch of sugar,2 pounds boneless, skinless chicken thighs or breasts, trimmed of excess fat, cut into 1-inch cubes,Salt and pepper,Extra virgin olive oil,2 yellow onions, chopped,2 cloves garlic, minced,1 teaspoon ground cumin,1 teaspoon ground coriander,1 1/2 cup chicken stock,2 cups tomatillo sauce,1 teaspoon dry oregano or 1 tablespoon fresh, chopped,1/2 cup packed chopped cilantro (about one bunch, rinsed and chopped, stems and leaves)",Serves 4,5,18.0,"Spicy Chicken Stew with Tomatillos! Also jalapeños, onions, garlic, cumin, oregano, and cilantro."
331,Coco Morante,Instant Pot Chipotle Chicken and Rice Bowls,chicken,"['onion', 'chipotles', 'juice', 'limes', 'boneless', 'skinless', 'thighs', 'rice', 'onions', 'pepper', 'juice', 'jalapeño', 'pepper', 'lime']",15,40,"['instant pot', 'pressure cooker', 'gluten-free', 'chicken']","2 cloves garlic,1/2 medium yellow onion,2 chipotles in adobo sauce (from a can),1/3 cup water,1/3 cup fresh lime juice (from 2 medium limes),1 tablespoon honey,2 teaspoons ground cumin,2 tablespoons paprika,1 teaspoon salt,1/2 teaspoon ground black pepper,1 1/2 to 2 pounds boneless skinless chicken thighs,1 cup long-grain white rice,1 cup water,1/2 cup cilantro, chopped,2 medium green onions, sliced,1 jalapeño pepper, seeded and minced,1 tablespoon fresh lime juice,1/2 teaspoon salt,2 ounces crumbled cotija cheese,12 thin slices jalapeño pepper,1/2 lime, cut into 4 wedges",4 servings,5,6.0,"Pressure Cooker Chipotle Chicken and Rice Bowls! Just like fast food take-out, but better. Use the pot-in-pot method to cook the chicken and rice together in your Instant Pot or pressure cooker."
332,Elise Bauer,Chicken Normandy,chicken,"['apples', 'peel', 'flour', 'chicken', 'legs', 'onion', 'lengthwise', 'root', 'brandy', 'apple', 'brandy', 'apple', 'cider', 'cloudy', 'type']",10,90,"['dinner', 'apple', 'chicken', 'french']","4 tablespoons butter,2 cooking apples (Fuji or Jonagold are perfect for this dish, do NOT use a red delicious), cored and sliced into wedges (you can peel or not),Flour for dredging,4 whole chicken legs (with thighs),Salt,1 large onion, peeled, sliced lengthwise (root to top) into wedges,1/2 cup (120 ml) brandy (apple brandy or , if you have it),2 cups (475 ml) apple cider (the cloudy type),1 teaspoon dried thyme,1/2 cup cream",Serves 4,5,5.0,"Chicken browned and braised in apple cider and brandy, cooked with apple slices and onions, served with a cream sauce."
333,Elise Bauer,Chicken Florentine Pesto Pasta,chicken,"['pasta', 'bowties', 'breast', 'cutlets', 'onion', 'wine', 'spinach', 'whipping']",10,20,"['dinner', 'quick and easy', 'chicken', 'pasta and noodles']","12 ounces dried short pasta (bowties, penne, gemelli, etc),4 chicken breast cutlets (1 to 1 1/2 pounds total),Salt,2 tablespoons extra virgin olive oil,1 medium onion, chopped, about 1 cup,3 garlic cloves, minced,1/2 cup white wine or stock,8-16 ounces of fresh spinach*, washed, long stems removed and chopped,Black pepper,1/4 cup heavy whipping cream,1/4 cup (or more) ",Serves 6-8,5,5.0,"A marriage of traditional chicken Florentine with pasta and basil pesto. Sliced sautéed chicken breasts with spinach, garlic, white wine, cream, pesto, and pasta."
334,Hank Shaw,Chicken Gumbo with Andouille Sausage,chicken,"['bacon', 'thighs', 'sausage', 'peanut', 'flour', 'peppers', 'stalks', 'onion', 'tomato', 'chicken', 'okra', 'discs', 'onions', 'celery', 'sweet']",20,180,"['soup and stew', 'comfort food', 'creole', 'chicken']","1/3 pound bacon, diced,2-3 pounds chicken thighs, skin on,Salt,1-2 pounds andouille sausage,1/2 cup peanut or other vegetable oil,1 cup flour,2 green peppers, diced,4 celery stalks, diced,1 large onion, diced,4 garlic cloves, minced,2 tablespoons tomato paste,1 quart chicken stock,1 quart water,1/2 to 1 pound okra, sliced into discs,3 green onions, chopped,1/2 cup fresh parsley, chopped,1 teaspoon black pepper,1/2 to 1 teaspoon cayenne pepper,1 teaspoon celery seed,2 Tbsp sweet paprika,1 Tbsp garlic powder,1 Tbsp dried thyme,1 Tbsp dried oregano",Serves 10-12,5,3.0,A classic spicy chicken and andouille sausage gumbo with okra.
335,Sheryl Julian,Weeknight Chicken Biryani,chicken,"['grain', 'rice', 'basmati', 'bone', 'skin', 'chicken', 'onion', 'cardamom', 'cinnamon', 'raisins', 'almonds', 'almonds']",20,40,"['dinner', '1-pot', 'gluten-free', 'chicken']","1 1/2 cups (150g) long-grain white rice, like basmati,4 bone-in, skin-on chicken thighs (about 1 1/2 pounds),1 teaspoon salt, or more to taste,1/2 teaspoon black pepper, or more to taste,2 tablespoons vegetable oil,1 large yellow onion, coarsely chopped,1 piece (2 inches) fresh ginger, peeled and finely chopped,1 teaspoon ground turmeric,1/2 teaspoon ground cardamom, plus more to taste,1 stick cinnamon,1 bay leaf,1/2 cup golden raisins,2 1/2 cups chicken stock or water,1/4 cup skinned or unskinned whole almonds, or sliced almonds,2 tablespoons chopped fresh cilantro",4 to 6 servings,5,6.0,Weeknight Chicken Biryani! This stovetop version of the well-known Indian rice dish is made with chicken and seasoned with turmeric and ginger. Ready for the table in under an hour.
336,Elise Bauer,Roast Chicken with Carrots,chicken,"['fryer', 'chicken', 'wingtips', 'carrots', 'crosswise', '½', 'chicken', 'wine']",15,85,"['dinner', 'paleo', 'roast chicken']","Whole fryer chicken, 3 1/2 to 4 pounds, preferably organic or kosher, wingtips removed,Salt,Freshly ground black pepper,1 lemon, halved or quartered,1 bunch fresh thyme,10 cloves garlic, peeled,8 carrots, peeled, trimmed and halved crosswise,1 to 1½ cups chicken stock,4 tablespoons extra-virgin olive oil,1 Tbsp red-wine vinegar, more to taste",Serves 4,5,7.0,"Roast Chicken with Carrots, roasted whole chicken in an oven-proof skillet, surrounded by carrots and garlic, and stuffed with lemon and thyme."
337,Elise Bauer,Smoked Paprika Roast Chicken,chicken,"['honey', 'lemon', 'juice']",10,75,"['dinner', 'gluten-free', 'low carb', 'roast chicken']","2 Tbsp smoked paprika,2 Tbsp melted unsalted butter*,1 teaspoon garlic powder,1 1/2 teaspoons salt,1/2 teaspoon pepper,1 whole 4-5 pound roasting chicken,4 Tbsp honey,2 Tbsp lemon juice",Serves 4,5,26.0,"Whole chicken roast with a rub of smoked paprika, butter, garlic salt and pepper, and glazed with lemon juice and honey."
338,Coco Morante,Instant Pot Chicken Adobo and Rice,chicken,"['bone', 'skin', 'chicken', 'thighs', 'boneless', 'skinless', 'chicken', 'onion', 'milder', 'flavor', 'corns', 'grain', 'rice', 'onions']",10,45,"['1-pot', 'instant pot', 'gluten-free', 'chicken']","3 to 3 1/2 pounds bone-in, skin-on chicken legs and thighs (or 1 1/2 to 2 pounds boneless skinless chicken thighs),1 medium yellow onion, sliced,4 garlic cloves, chopped,1/3 cup soy sauce (use low sodium soy sauce for less salt, or tamari for gluten-free),3 tablespoons white vinegar (or , for a milder flavor),1 tablespoon brown sugar,1 teaspoon black peppercorns,3 dried bay leaves,1 1/2 cups long grain white rice,1 1/2 cups water,Thinly sliced green onions, to garnish the rice (optional)",4 to 6 servings,5,2.0,"Chicken Adobo with Rice in the Pressure Cooker! All-in-one recipe: the chicken and rice cook together! Use any mix of chicken pieces with onion, garlic, vinegar, soy sauce, and brown sugar. So easy!"
339,Elise Bauer,Chicken with Creamy Mushroom Sauce,chicken,"['bone', 'skin', 'chicken', 'thighs', 'flour', 'onions', 'mushrooms', 'shiitakes', 'mushroomy', 'flavor', 'heavy']",10,60,"['dinner', 'low carb', 'chicken', 'mushroom']","3 to 4 pounds bone-in, skin-on chicken pieces (we used thighs), trimmed of excess fat,1 1/2 teaspoons Kosher salt,1/2 cup flour for dredging,1/4 teaspoon ground black pepper,1/4 cup plus 2 tablespoons extra virgin olive oil,1 tablespoon butter,1/4 cup chicken broth,1 small onions, chopped (about 1 cup),3/4 pound fresh mushrooms, thickly sliced (I use cremini with a handful of shiitakes included for more intense mushroomy flavor),1 clove of garlic, crushed,1/4 teaspoon dried thyme or 1 teaspoon fresh thyme,1/2 cup sour cream,1/2 cup heavy cream",Serves 6 to 8,5,2.0,"Fried chicken served with a mushroom cream sauce.  Easy to make, filling, and delicious."
340,Nick Evans,Chili Garlic Chicken,chicken,"['chili', 'honey', 'rice', 'wine', 'chicken', 'scallions']",5,30,"['grill', 'chicken']","3 tablespoons olive oil,2 tablespoons chili garlic, sauce such as ,1 tablespoon honey,1 tablespoon rice wine vinegar,2 cloves garlic minced,1 (3-pound) chicken, cut into pieces, or the equivalent in chicken pieces,Thinly sliced scallions, for garnish,Sesame seeds, for garnish",4 servings,5,2.0,"If you like some sweet heat, marinate your chicken thighs in this chili garlic sauce. They cook quickly on the grill and are especially good served with white rice."
341,Coco Morante,Pressure Cooker Moroccan Chicken,chicken,"['coriander', 'cinnamon', 'allspice', 'onion', 'chicken', 'broth', 'olives', 'pimentos', 'raisins', 'skinless', 'chicken', 'thighs']",10,30,['chicken'],"1 teaspoon paprika,1 teaspoon ground ginger,1 teaspoon ground cumin,1 teaspoon ground coriander,1/2 teaspoon ground turmeric,1/2 teaspoon ground cinnamon,1/2 teaspoon ground allspice,1/2 teaspoon kosher salt,1 tablespoon olive oil,1 red onion, sliced,3 cloves garlic, chopped,1 cup low sodium chicken broth,1 cup pitted green olives (with or without pimentos),1/2 cup raisins,1/2 lemon, sliced thinly, seeds removed,3 pounds boneless, skinless chicken thighs,1/4 cup chopped cilantro and/or parsley",6 to 8 servings ,5,7.0,"Ras el hanout—a Moroccan spice blend—brings deep flavors to this pressure cooker Instant Pot dish. It's made with chicken thighs, olives, lemon, garlic, onions and raisins. "
342,Elizabeth Stark,Grilled Chicken with South Carolina-Style BBQ Sauce,chicken,"['apple', 'cider', 'thighs', 'bone', 'skin', 'skin']",30,25,"['dinner', 'grill', 'southern', 'chicken drumstick']","1 cup prepared yellow mustard,1/4 cup packed dark brown sugar,2 tablespoons apple cider vinegar,1 tablespoon ketchup,1 teaspoon Worcestershire sauce,1/2 teaspoon garlic powder,1/2 teaspoon bottled hot sauce, plus more to taste,4 chicken thighs, bone-in with skin,4 drumsticks, bone-in with skin,1 tablespoon sea salt",Serves 4 to 6,,,"Grilled Chicken with South Carolina BBQ Sauce pairs zesty, mustard-based South Carolina-style barbecue sauce with grilled chicken. You get a hint of sweetness and spice from the sauce, and every bite is wonderfully smoky from the grill!"
343,Elise Bauer,Chicken and Apples in Honey Mustard Sauce,chicken,"['apple', 'cider', 'cornstarch', 'boneless', 'skinless', 'chicken', 'apples', 'fuji', 'smith', 'jonathan', 'jonagold', 'pippin', 'mcintosh', 'apples', 'cooking', 'apples', 'broth']",5,25,"['dinner', 'quick and easy', 'apple', 'chicken']","1/2 cup sweet apple cider,1 1/2 teaspoons cornstarch,Salt,Freshly ground black pepper,1 tablespoon honey,2 tablespoons Dijon mustard,1/2 cup flour, for dredging,1 pound boneless, skinless chicken breasts,2 tablespoons extra virgin olive oil,2 small unpeeled apples, cored and cut into eighths (use Fuji, Granny Smith, Jonathan, Jonagold, Pippin, or McIntosh apples, good cooking apples),1/2 cup chicken broth,Fresh parsley for garnish",Serves 4,5,20.0,"Simple and quick chicken breast with apples cooked in broth, with a honey mustard sauce."
344,Coco Morante,Pressure Cooker Shredded Chicken Taco Meat,chicken,"['chili', 'onion', 'cinnamon', 'allspice', 'cayenne', 'boneless', 'skinless', 'chicken', 'juice', 'dozen', 'corn', 'tortillas', 'cabbage', 'radishes', 'avocados', 'limes']",5,40,"['instant pot', 'chicken', 'taco']","2 tablespoons chili powder,2 teaspoons ground cumin,1 teaspoon kosher salt,1 1/2 teaspoons dried oregano,1 teaspoon onion powder,1 teaspoon garlic powder,1/4 teaspoon ground cinnamon,1/4 teaspoon allspice,1/4 teaspoon cayenne,2 1/2 pounds (about 8 medium) boneless skinless chicken thighs,3/4 cup (6 ounces) pineapple juice,2 tablespoons ketchup,1 dozen corn tortillas,1 to 2 cups shredded red cabbage,1/2 cup sliced radishes,2 large avocados, cut into chunks,1/4 cup chopped cilantro,2 limes, cut into wedges",4 to 6 servings,5,6.0,"The pressure cooker makes short work of shredded chicken! Season chicken thighs with some spices, set it, and let the pressure take over—you'll soon have enough shredded chicken taco meat to feed a crowd."
345,Elise Bauer,Chicken with Creamy Mushroom Sage Sauce,chicken,"['shallots', 'button', 'mushrooms', 'shiitake', 'mushrooms', 'vermouth', 'wine', 'sauvignon', 'blanc', 'light', 'chicken', 'breast', 'cutlets', 'breasts']",10,20,"['quick and easy', 'chicken breast', 'mushroom']","3 tablespoons butter,1/2 cup chopped shallots,8-10 ounces cremini or button mushrooms, thickly sliced,A couple shiitake mushrooms, thinly sliced,1 teaspoon chopped fresh parsley,1 cup dry vermouth or dry white wine (such as Sauvignon Blanc),2/3 cup heavy whipping cream (light cream may curdle, so use heavy cream),3 tablespoons chopped fresh sage,1 tablespoon extra virgin olive oil,1 1/4 to 1 1/2 pounds chicken breast cutlets, or skinless, boneless chicken breasts pounded to an even 1/4 inch to 1/3 inch thickness,Salt and freshly ground black pepper",Serves 4,5,35.0,"Skinless, boneless chicken breasts with a creamy mushroom sauce with vermouth, cream, and sage."
346,Elise Bauer,Honey Glazed Lemon Roast Chicken,chicken,"['k', 'chicken', 'lemon', 'juice', 'honey', 'brush']",120,90,"['roast chicken', 'honey', 'lemon chicken']","One 4 pound (1.8 k) whole chicken,1 cup (236 ml) lemon juice,1 tablespoon extra virgin olive oil,Kosher salt,Freshly ground black pepper,A few sprigs of fresh thyme,1/2 fresh lemon, cut into wedges,1/4 cup (60 ml) honey, heated to make it easier to brush",Serves 3-4,5,4.0,This Simple Roast Chicken is marinated in lemon juice and roasted with a honey glaze. Delicious!
347,Elise Bauer,Chicken Bacon Roulades,chicken,"['shallots', 'shallots', 'skinless', 'boneless', 'chicken', 'breasts', 'pepper', 'zest', 'wine', 'flour', 'chicken']",5,70,"['dinner', 'low carb', 'bacon', 'chicken roulade']","4 shallots, thinly sliced (about 1 cup sliced shallots),1/2 pound of bacon slices (thinly sliced, not thick cut),4 skinless boneless chicken breasts (about 1 1/2 pounds total),Lemon pepper seasoning to taste (or ground black pepper with a little lemon zest),1 ounce grated Parmesan (about 1/3 cup),1 tablespoon extra virgin olive oil,1 clove of garlic, minced (1 teaspoon),1/3 cup dry white wine,2 tablespoons butter,1 1/2 tablespoons flour,1 1/4 cups chicken broth,1/4 cup heavy cream",Serves 4,5,9.0,"Chicken Bacon Roulades—chicken breasts, pounded thin, stuffed with bacon, shallots, and Parmesan, rolled up, browned, roasted, then served sliced, with a creamy white sauce."
348,Elise Bauer,Baked Chicken Parmesan,chicken,"['tomatoes', 'glen', 'wine', 'chicken', 'breast', 'cutlets', 'breasts', 'thickness', 'breadcrumbs', 'panko', 'cheese']",10,30,"['family-friendly', 'quick and easy', 'chicken breast']","1/4 cup extra virgin olive oil,2 garlic cloves, peeled, finely chopped (about 2 teaspoons),1 can (28 oz) crushed tomatoes (we use Muir-Glen),1/2 teaspoon dried basil (or 1 Tbsp of chopped fresh basil),1/4 teaspoon dried oregano (or 1 teaspoon of chopped fresh oregano),1/4 teaspoon sugar,Salt and ground black pepper to taste,3 tablespoons Dijon mustard,1 tablespoon white-wine vinegar,1/2 teaspoon salt,1/2 teaspoon black pepper,1 1/2 pounds chicken breast cutlets (or skinless boneless chicken breasts or thighs that have been pounded to a 1/4-inch thickness),1 cup of breadcrumbs (panko or homemade),1 cup finely grated Parmesan cheese,3 tablespoons unsalted butter, melted",Serves 4,5,19.0,"Baked Chicken Parmesan! EASY and quick, simply bread the chicken cutlets with Parmesan and crumbs, bake in the oven, and top with a fresh, homemade tomato sauce. This baked chicken parmesan is delicious. Serve with noodles."
349,Elise Bauer,"Chicken Stew with Onions, Tomatoes, and Dijon",chicken,"['chicken', 'breasts', 'wings', 'thighs', 'legs', 'onions', 'whole', 'tomatoes', 'wine', 'regular']",5,80,"['french', 'gluten-free', 'chicken', 'chicken stew']","1 whole head garlic,Extra virgin olive oil,Salt and freshly ground pepper,One 3-4 pound whole chicken, cut into 8 serving pieces (2 breasts, wings, thighs, legs),6 medium red onions (about 2 pounds),One 28 to 32 ounce can good quality whole peeled tomatoes, drained,1 tablespoon fresh thyme or 1 1/2 teaspoons dried thyme,2 bay leaves,A pinch of chile powder,1/3 cup dry white wine,3 tablespoons old-fashioned whole seed Dijon mustard (or 1/4 cup regular Dijon mustard)",Serves 4 to 6,5,5.0,Easy and hearty chicken stew recipe with loads of red onions and tomatoes! Seasoned with Dijon mustard.
350,Sally Vargas,Chicken Breasts with Mustard Cream Sauce,chicken,"['skinless', 'boneless', 'chicken', 'breasts', 'flour', 'wine', 'heavy', 'capers']",5,25,"['dinner', 'quick and easy', 'chicken']","4 skinless, boneless chicken breasts (about 1 1/2 pounds total),Salt and pepper, to taste,1/4 cup all-purpose flour,1 1/2 tablespoons unsalted butter,1 1/2 tablespoons oil,1 cup white wine,1 cup heavy cream,1 rounded teaspoon Dijon mustard,3 tablespoons capers, rinsed well,2 tablespoons chopped fresh parsley",4 servings,5,5.0,"Easy recipe for chicken breasts with a quick mustard cream sauce! Ready in under 30 minutes. Great with rice, pasta, or a green salad."
351,Aaron Hutcherson,Buffalo Chicken Lasagna,chicken,"['stick', 'milk', 'crumbles', 'chicken', 'lasagna', 'noodles', 'mozzarella', 'cheese']",30,45,"['dinner', 'super bowl', 'casserole', 'chicken']","4 tablespoons (1/2 stick) unsalted butter,1/4 cup all-purpose flour,1 quart whole milk,8 ounces blue cheese crumbles,1/2 teaspoon kosher salt,Ground black pepper,4 cups cooked, shredded chicken,1 cup hot sauce,8-ounce package oven-ready lasagna noodles,8 ounces shredded mozzarella cheese",8 to 12 servings,5,2.0,"Buffalo Chicken Lasagna! Two great dishes, together at last. Creamy blue cheese sauce and spicy chicken layered with lasagna noodles. Perfect for game day and potlucks."
352,Elise Bauer,Chicken Curry in a Hurry,chicken,"['skinless', 'boneless', 'cutlets', 'curry', 'curry', 'spices', 'masala', 'coconut', 'onion', 'crosswise', 'raisins', 'bowl', 'mixture', 'yogurt', 'yogurt', 'almonds']",10,20,"['gluten-free', 'low carb', 'chicken', 'curry']","1 1/2 pounds skinless, boneless chicken breast cutlets*,Salt,3 teaspoons your favorite yellow curry powder or combination of curry spices (such as garam masala),1 Tbsp coconut oil or extra virgin olive oil,1 medium-large onion, thinly sliced crosswise (about 2 cups,1/3 cup golden raisins (optional), placed in a bowl and covered with water to plump them,Freshly ground black pepper,1 cup sour cream or a mixture of plain full-fat yogurt (or Greek yogurt) and whipping cream or sour cream,Minced fresh cilantro and toasted slivered almonds (optional) for garnish",Serves 4,5,23.0,"A quick, tasty, and filling recipe for chicken curry. "
353,Elise Bauer,Greek Lemon Chicken Skewers with Tzatziki Sauce,chicken,"['boneless', 'skinless', 'chicken', 'breasts', 'yogurt', 'juice', 'lemons', 'yogurt', 'juice', 'cucumber']",25,7,"['greek', 'chicken breast', 'kabob', 'tzatziki']","1 1/4 pound boneless, skinless chicken breasts, trimmed of excess fat,1 teaspoon salt,2 tablespoons plain yogurt,2 cloves garlic, minced (about 2 teaspoons),1 tablespoon minced fresh oregano (or 1 1/2 teaspoons dried oregano),1/8 teaspoon freshly ground black pepper,1 teaspoon lemon juice,1 tablespoon extra virgin olive oil plus more for the grill,2 lemons, thinly sliced,1 cup plain yogurt,2 cloves of garlic, minced (about 2 teaspoons),1/2 teaspoon kosher salt,1/8 teaspoon black pepper,1 tablespoon lemon juice,1 cucumber, peeled",Serves 3 to 4,5,8.0,"Grilled chicken breast skewers, marinated in a yogurt lemon marinade, grilled with lemon slices, served with cucumber yogurt tzatziki sauce"
354,Elise Bauer,Beer Braised Chicken and Onions,chicken,"['chicken', 'thighs', 'onions', 'stem', 'smooth', 'beer', 'chicken']",15,120,"['dinner', '1-pot', 'gluten-free', 'chicken thigh']","1 Tbsp unsalted butter,6 chicken thighs, about 2 to 2 1/2 pounds,Salt,3 pounds yellow onions, sliced 1/4-inch thick, root to stem, about 6-8 cups sliced,1 Tbsp brown sugar, packed,2 bay leaves,2 teaspoons dried thyme,2 Tbsp smooth Dijon mustard,1 1/2 cups dark beer,1 cup chicken stock,Freshly ground black pepper",Serves 6-8,5,7.0,"Chicken thighs with onions, browned in butter and braised in dark beer and chicken stock, for a rich, savory stew.  Chicken carbonnade."
355,Elise Bauer,Spanish Baked Chicken,chicken,"['wine', 'pepper', 'raisins', 'olives', 'parts', 'wine']",120,50,"['dinner', '1-pot', 'spanish', 'chicken']","1/4 cup extra virgin olive oil,1/4 cup red wine vinegar,2 teaspoons chopped fresh oregano (or 1 teaspoon dried),1 teaspoon salt,1/2 teaspoon garlic powder,Dash of pepper,3 bay leaves,1/2 cup golden raisins,1/4 cup sliced or halved pitted green olives,3 pounds chicken parts,2 tablespoons brown sugar,1/2 cup dry white wine",Serves 4,5,7.0,"Chicken marinated in oil and vinegar with olives and raisins, then baked with wine and brown sugar. Pollo Estofado."
356,Sally Vargas,Chicken Minestrone with Basil Pesto,chicken,"['onion', 'ribs', 'celery', 'carrots', 'zucchini', 'beans', 'beans', 'marzano', 'tomatoes', 'juices', 'pasta', 'shells', 'di', 'pepe', 'beans', 'chicken', 'pesto']",20,25,"['dinner', 'soup', 'freezer-friendly', 'chicken']","2 tablespoons olive oil,1 large yellow onion, diced small,3 ribs celery, diced small,3 medium carrots, diced small,2 small (12 ounces) zucchini, diced small,1/2 teaspoon salt, plus more to taste,Black pepper, to taste,1 can (15 ounces) cannellini beans, drained and rinsed, or 1 1/2 cups cooked white beans,1 can (28 ounces) whole San Marzano tomatoes, with juices,6 cups chicken stock or water,1/2 cup small pasta, such as small shells, ditalini, or ancini di pepe,,2 handfuls (8 ounces) green beans, trimmed and cut into 1-inch lengths,3 cups cooked, shredded chicken,1 cup pesto, , or store-bought",8 to 10 servings,,,"Here's an easy chicken minestrone with basil pesto! It's easy to adapt with whatever beans, pasta, and fresh vegetables you have in the pantry. Feeds a crowd and freezes well."
357,Coco Morante,Pressure Cooker Chicken Lettuce Wraps,chicken,"['rice', 'wine', 'oyster', 'cooking', 'onion', 'shallots', 'zucchini', 'chicken', 'turkey', 'chestnuts', 'lettuce', 'onions', 'peanuts']",10,20,"['instant pot', 'chicken', 'lettuce']","2 tablespoons soy sauce,2 tablespoons rice wine,1 tablespoon oyster sauce,1/4 cup water,2 tablespoons neutral cooking oil (I use avocado oil),1/2 small red onion, or two shallots, diced small,2 cloves garlic, minced,1-inch piece fresh ginger, peeled and minced,2 medium zucchini, diced small,1 pound ground chicken or turkey,1 (8-ounce) can sliced water chestnuts, drained and chopped,1/2 teaspoon salt,8 whole leaves butter lettuce,2 green onions, sliced thinly,1/4 cup roasted unsalted peanuts, chopped coarsely,1/2 cup chopped cilantro",4 servings,,,Need a fast meal that doesn't heat up the kitchen? These pressure cooker chicken lettuce wraps are what you need! They're also a great party appetizer — just set out a stack of lettuce leaves and let guests dig in.
358,Elise Bauer,Chicken Prosciutto,chicken,"['cutlets', 'prosciutto', 'eggs', 'fontina', 'wine', 'sauvignon', 'blanc']",15,25,"['dinner', 'gluten-free', 'low carb', 'chicken breast']","2 lbs chicken cutlets,Freshly ground black pepper,1 stick (1/2 cup) unsalted butter,8-12 whole fresh sage leaves,1/2 pound very thinly sliced prosciutto,2 eggs, beaten,8 thin slices Italian Fontina cheese (about 2 oz),1 cup dry white wine (like a Sauvignon blanc),1 Tbsp minced fresh sage,1/2 stick unsalted butter, chilled",Serves 6-8,5,9.0,"Chicken prosciutto! with boneless, skinless chicken breasts with butter toasted sage, wrapped in prosciutto."
359,Elise Bauer,"Broccoli, Chicken, and Almond Sauté",chicken,"['boneless', 'skinless', 'chicken', 'spice', 'rub', 'broccoli', 'florets', 'almonds']",10,20,"['dinner', 'paleo', 'broccoli', 'chicken']","1/2 pound to 3/4 pound boneless skinless chicken breasts,Kosher salt,Extra virgin olive oil,Your favorite spice rub for grilling (optional),1 pound broccoli florets,1/4 teaspoon chile flakes (more to taste),1/3 to 1/2 cup toasted almonds, roughly chopped,1 teaspoon dark sesame oil,Freshly ground black pepper",Serves 4,5,2.0,"Broccoli, first blanched, then sautéed briefly with sliced grilled chicken, toasted almonds, sesame oil, and red chile flakes."
360,Lisa Lin,Teriyaki Chicken Lettuce Wraps,chicken,"['tamari', 'honey', 'cornstarch', 'onions', 'onion', 'chicken', 'zucchini', 'bell', 'pepper', 'lettuce', 'peanuts', 'scallions']",10,25,"['healthy', 'chicken', 'lettuce wraps', 'teriyaki']","1/4 cup (60 ml) low-sodium soy sauce (or tamari, for gluten-free),3 tablespoons water, divided,2 tablespoons mirin,2 tablespoons honey,2 medium cloves garlic, minced,1 teaspoon grated fresh ginger,1 teaspoon cornstarch,2 tablespoon olive oil, divided,1/2 cup diced red onions (1/4 of a large red onion, or 1/3 of a small one),1 pound (450 g) ground chicken,Kosher salt,1 medium zucchini, diced,1 medium red bell pepper, seeded and diced,1 scallion, thinly sliced,1/2 teaspoon sesame oil,1 head butter lettuce, leaves separated and rinsed,Roasted peanuts, chopped,Chopped cilantro,Thinly sliced scallions",4 servings,5,7.0,These Teriyaki Chicken Lettuce Wraps are an easy and light weeknight meal. A quick homemade teriyaki sauce makes them way better than takeout! 
